# time(ns)  Fourier    CSA-BTE   RTA-BTE
  0.000000     1.000000     1.000000     1.000000   
  0.000500     0.994339     0.999988     0.999989   
  0.001000     0.986737     0.999951     0.999954   
  0.001500     0.979577     0.999891     0.999894   
  0.002000     0.972296     0.999805     0.999808   
  0.002500     0.965155     0.999694     0.999695   
  0.003000     0.958027     0.999557     0.999555   
  0.003500     0.950966     0.999394     0.999388   
  0.004000     0.943955     0.999206     0.999196   
  0.004500     0.936989     0.998992     0.998978   
  0.005000     0.930084     0.998754     0.998734   
  0.005500     0.923230     0.998491     0.998465   
  0.006000     0.916415     0.998203     0.998170   
  0.006500     0.909654     0.997891     0.997850   
  0.007000     0.902949     0.997555     0.997507   
  0.007500     0.896296     0.997195     0.997138   
  0.008000     0.889688     0.996812     0.996746   
  0.008500     0.883122     0.996405     0.996330   
  0.009000     0.876602     0.995975     0.995890   
  0.009500     0.870137     0.995522     0.995427   
  0.010000     0.863723     0.995046     0.994941   
  0.010500     0.857360     0.994548     0.994433   
  0.011000     0.851042     0.994028     0.993902   
  0.011500     0.844767     0.993486     0.993348   
  0.012000     0.838533     0.992922     0.992773   
  0.012500     0.832342     0.992337     0.992176   
  0.013000     0.826197     0.991731     0.991558   
  0.013500     0.820101     0.991104     0.990918   
  0.014000     0.814055     0.990456     0.990258   
  0.014500     0.808056     0.989787     0.989577   
  0.015000     0.802103     0.989098     0.988875   
  0.015500     0.796193     0.988389     0.988154   
  0.016000     0.790326     0.987661     0.987412   
  0.016500     0.784498     0.986912     0.986652   
  0.017000     0.778710     0.986144     0.985871   
  0.017500     0.772961     0.985356     0.985072   
  0.018000     0.767253     0.984550     0.984253   
  0.018500     0.761588     0.983724     0.983416   
  0.019000     0.755966     0.982880     0.982561   
  0.019500     0.750389     0.982018     0.981687   
  0.020000     0.744856     0.981137     0.980795   
  0.020500     0.739366     0.980239     0.979885   
  0.021000     0.733918     0.979322     0.978958   
  0.021500     0.728511     0.978388     0.978013   
  0.022000     0.723145     0.977437     0.977051   
  0.022500     0.717817     0.976468     0.976072   
  0.023000     0.712528     0.975482     0.975076   
  0.023500     0.707275     0.974479     0.974063   
  0.024000     0.702058     0.973460     0.973034   
  0.024500     0.696878     0.972424     0.971989   
  0.025000     0.691733     0.971371     0.970928   
  0.025500     0.686625     0.970303     0.969851   
  0.026000     0.681554     0.969218     0.968759   
  0.026500     0.676520     0.968118     0.967651   
  0.027000     0.671524     0.967002     0.966529   
  0.027500     0.666567     0.965870     0.965391   
  0.028000     0.661649     0.964724     0.964238   
  0.028500     0.656769     0.963562     0.963072   
  0.029000     0.651927     0.962385     0.961890   
  0.029500     0.647122     0.961194     0.960695   
  0.030000     0.642354     0.959988     0.959486   
  0.030500     0.637622     0.958767     0.958263   
  0.031000     0.632925     0.957533     0.957026   
  0.031500     0.628263     0.956284     0.955776   
  0.032000     0.623636     0.955022     0.954513   
  0.032500     0.619042     0.953745     0.953237   
  0.033000     0.614482     0.952456     0.951947   
  0.033500     0.609953     0.951152     0.950645   
  0.034000     0.605457     0.949836     0.949331   
  0.034500     0.600992     0.948506     0.948004   
  0.035000     0.596558     0.947164     0.946665   
  0.035500     0.592154     0.945808     0.945314   
  0.036000     0.587782     0.944440     0.943951   
  0.036500     0.583441     0.943060     0.942576   
  0.037000     0.579131     0.941667     0.941190   
  0.037500     0.574853     0.940262     0.939792   
  0.038000     0.570606     0.938845     0.938384   
  0.038500     0.566391     0.937416     0.936964   
  0.039000     0.562207     0.935976     0.935533   
  0.039500     0.558056     0.934524     0.934092   
  0.040000     0.553937     0.933060     0.932640   
  0.040500     0.549850     0.931586     0.931178   
  0.041000     0.545794     0.930100     0.929706   
  0.041500     0.541770     0.928603     0.928224   
  0.042000     0.537776     0.927096     0.926732   
  0.042500     0.533814     0.925577     0.925230   
  0.043000     0.529881     0.924049     0.923718   
  0.043500     0.525977     0.922509     0.922198   
  0.044000     0.522104     0.920960     0.920668   
  0.044500     0.518259     0.919400     0.919129   
  0.045000     0.514443     0.917831     0.917581   
  0.045500     0.510655     0.916251     0.916024   
  0.046000     0.506895     0.914662     0.914458   
  0.046500     0.503163     0.913064     0.912884   
  0.047000     0.499458     0.911456     0.911302   
  0.047500     0.495780     0.909838     0.909711   
  0.048000     0.492128     0.908212     0.908113   
  0.048500     0.488502     0.906576     0.906506   
  0.049000     0.484901     0.904932     0.904891   
  0.049500     0.481326     0.903279     0.903269   
  0.050000     0.477776     0.901617     0.901640   
  0.050500     0.474251     0.899946     0.900003   
  0.051000     0.470750     0.898267     0.898358   
  0.051500     0.467275     0.896580     0.896707   
  0.052000     0.463824     0.894885     0.895048   
  0.052500     0.460397     0.893182     0.893383   
  0.053000     0.456995     0.891471     0.891711   
  0.053500     0.453618     0.889751     0.890032   
  0.054000     0.450266     0.888025     0.888347   
  0.054500     0.446938     0.886290     0.886655   
  0.055000     0.443635     0.884549     0.884958   
  0.055500     0.440356     0.882800     0.883254   
  0.056000     0.437102     0.881044     0.881544   
  0.056500     0.433873     0.879280     0.879828   
  0.057000     0.430668     0.877510     0.878107   
  0.057500     0.427488     0.875733     0.876380   
  0.058000     0.424333     0.873949     0.874647   
  0.058500     0.421202     0.872158     0.872910   
  0.059000     0.418095     0.870361     0.871166   
  0.059500     0.415012     0.868558     0.869418   
  0.060000     0.411952     0.866748     0.867665   
  0.060500     0.408916     0.864932     0.865907   
  0.061000     0.405904     0.863110     0.864144   
  0.061500     0.402914     0.861282     0.862376   
  0.062000     0.399946     0.859449     0.860604   
  0.062500     0.397001     0.857609     0.858827   
  0.063000     0.394079     0.855764     0.857046   
  0.063500     0.391178     0.853913     0.855261   
  0.064000     0.388299     0.852056     0.853472   
  0.064500     0.385441     0.850195     0.851678   
  0.065000     0.382605     0.848328     0.849881   
  0.065500     0.379790     0.846456     0.848080   
  0.066000     0.376996     0.844579     0.846275   
  0.066500     0.374222     0.842697     0.844467   
  0.067000     0.371468     0.840810     0.842655   
  0.067500     0.368735     0.838918     0.840839   
  0.068000     0.366022     0.837021     0.839021   
  0.068500     0.363328     0.835120     0.837199   
  0.069000     0.360653     0.833215     0.835374   
  0.069500     0.357998     0.831305     0.833546   
  0.070000     0.355361     0.829391     0.831715   
  0.070500     0.352744     0.827472     0.829881   
  0.071000     0.350144     0.825550     0.828044   
  0.071500     0.347563     0.823623     0.826205   
  0.072000     0.345001     0.821692     0.824363   
  0.072500     0.342456     0.819758     0.822519   
  0.073000     0.339929     0.817819     0.820672   
  0.073500     0.337420     0.815877     0.818823   
  0.074000     0.334929     0.813932     0.816972   
  0.074500     0.332455     0.811982     0.815118   
  0.075000     0.329999     0.810030     0.813263   
  0.075500     0.327560     0.808073     0.811405   
  0.076000     0.325139     0.806114     0.809546   
  0.076500     0.322735     0.804151     0.807685   
  0.077000     0.320348     0.802185     0.805822   
  0.077500     0.317979     0.800216     0.803957   
  0.078000     0.315627     0.798245     0.802091   
  0.078500     0.313293     0.796270     0.800223   
  0.079000     0.310975     0.794292     0.798354   
  0.079500     0.308675     0.792311     0.796483   
  0.080000     0.306392     0.790328     0.794612   
  0.080500     0.304127     0.788342     0.792738   
  0.081000     0.301878     0.786354     0.790864   
  0.081500     0.299646     0.784363     0.788989   
  0.082000     0.297431     0.782370     0.787113   
  0.082500     0.295234     0.780374     0.785236   
  0.083000     0.293053     0.778376     0.783358   
  0.083500     0.290889     0.776376     0.781479   
  0.084000     0.288741     0.774373     0.779599   
  0.084500     0.286610     0.772369     0.777719   
  0.085000     0.284496     0.770363     0.775838   
  0.085500     0.282398     0.768354     0.773957   
  0.086000     0.280316     0.766344     0.772075   
  0.086500     0.278250     0.764332     0.770193   
  0.087000     0.276200     0.762318     0.768311   
  0.087500     0.274166     0.760303     0.766428   
  0.088000     0.272147     0.758285     0.764545   
  0.088500     0.270143     0.756267     0.762662   
  0.089000     0.268155     0.754246     0.760779   
  0.089500     0.266181     0.752225     0.758896   
  0.090000     0.264223     0.750202     0.757013   
  0.090500     0.262279     0.748177     0.755130   
  0.091000     0.260350     0.746152     0.753247   
  0.091500     0.258436     0.744125     0.751365   
  0.092000     0.256536     0.742097     0.749482   
  0.092500     0.254650     0.740067     0.747600   
  0.093000     0.252778     0.738037     0.745718   
  0.093500     0.250921     0.736006     0.743837   
  0.094000     0.249077     0.733974     0.741956   
  0.094500     0.247247     0.731941     0.740076   
  0.095000     0.245430     0.729907     0.738196   
  0.095500     0.243627     0.727872     0.736317   
  0.096000     0.241837     0.725837     0.734438   
  0.096500     0.240061     0.723800     0.732560   
  0.097000     0.238297     0.721764     0.730683   
  0.097500     0.236546     0.719726     0.728807   
  0.098000     0.234808     0.717688     0.726932   
  0.098500     0.233083     0.715650     0.725057   
  0.099000     0.231369     0.713611     0.723183   
  0.099500     0.229669     0.711571     0.721311   
  0.100000     0.227980     0.709531     0.719439   
  0.100500     0.226303     0.707491     0.717568   
  0.101000     0.224638     0.705451     0.715699   
  0.101500     0.222985     0.703410     0.713830   
  0.102000     0.221344     0.701369     0.711963   
  0.102500     0.219714     0.699328     0.710097   
  0.103000     0.218096     0.697286     0.708232   
  0.103500     0.216489     0.695245     0.706368   
  0.104000     0.214893     0.693204     0.704506   
  0.104500     0.213309     0.691162     0.702645   
  0.105000     0.211736     0.689121     0.700785   
  0.105500     0.210173     0.687079     0.698927   
  0.106000     0.208622     0.685038     0.697070   
  0.106500     0.207081     0.682997     0.695214   
  0.107000     0.205551     0.680956     0.693360   
  0.107500     0.204032     0.678915     0.691508   
  0.108000     0.202524     0.676874     0.689657   
